SMILES,log2VDss,log2VDss_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
c12C(=NCC(=O)Nc1ccc(c2)Br)c1c(cccc1)Cl,-3.4900508536956893,-2.2421832967474,Phenazepam,51753-57-2,0.089,0.05,,28.31,14.88,"Maksutova E L; Sariev A K; Zherdev V P; Voronina T A; Zheleznova E V. The pharmacokinetic characteristics of fenazepam in epileptics. Eksperimental'naia i klinicheskaia farmakologiia. 1994, 57, 16-18.","VDss from clearance and MRT. N=5, 70 kg average weight assumed, 2 mg dose.",In house translation from Russian.,1974,349.61,3,1,41.5,1,neutral,3.8,3.8
c12[C@@H](c3ccc(O)cc3)CNCCc1c(c(O)c(c2)O)Cl,-1.0,0.1200615020068759,Fenoldopam,67227-56-9,0.5,41.5,0.12,0.2,1.0,"PP. Fenoldopam Mesylate - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 019922 1997-Sep-25  PDF(1763k)",N=12 healthy volunteers. 1 ug/kg/min dose. MRT from VDss and clearance.,"PP. Fenoldopam Mesylate - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 019922 1997-Sep-25  PDF(1763k)",1980,305.76,4,4,72.7,1,cationic,2.7,1.9
c12c(C(=N)N)cccc1\C(=N\NC(=N)N)CC2,4.321928094887363,2.685913516551102,Sardomozide,149400-88-4,20.0,3.2,,104.1,65.4,"A Phase I and Pharmacokinetic Study of SAM486A, a Novel Polyamine Biosynthesis Inhibitor, Administered on a Dailytimes-five every-three-week Schedule in Patients with Advanced Solid Malignancies. Lillian L. Siu, Eric K. Rowinsky, Lisa A. Hammond, Geoffrey R. Weiss,Manuel Hidalgo, Gary M. Clark, Judy Moczygemba, Les Choi, Ron Linnartz, Nicholas C. Barbet, Ivo T. Sklenar, Renaud Capdeville, Gregory Gan, Carl W. Porter, Daniel D. Von Hoff, and S. Gail Eckhardt. Clin. Cancer Res. 2002, 8, 2157–2166. ",SAM486A or CGP48664.  Weighted average across several doses (3.6 to 202.8 mg/m2/day) and 18 patients. Total VDss calculated 811 L/m2 for 18 patients. Clearance 7.75 L/h/m2. 1.73m2/70 factor used.  T1/2 on 19 patients. MRT = VDss/Cl. Highly variable PK. ,,1993,230.27,6,5,124.1,3,cationic,-0.14,-5.0
c12c(N(C(c3cc4cc(NC(Nc5cc6c([nH]c(c6)C(N6c7c(c8c([nH]cc8C)c(c7)O)[C@@H](C6)CCl)=O)cc5)=O)ccc4[nH]3)=O)C[C@H]2CCl)cc(O)c2c1c(c[nH]2)C,-4.321928094887363,-2.973087875715044,Bizelesin,129655-21-6,0.05,0.5,,1.7,1.6,"Pitot, Henry C.; Reid, Joel M.; Sloan, Jeff A.; Ames, Matthew M.; Adjei, Alex A.; Rubin, Joseph; Bagniewski, Pamela G.; Atherton, Pamela; Rayson, Daniel; Goldberg, Richard M; Erlichman, Charles. A phase I study of bizelesin (NSC 615291) in patients with advanced solid tumors. Clin. Cancer Res. 2002, 8, 712-717.",Weighted average over 17 patients with doses ranging from 0.1 ug/m2 to 1 ug/m2.  1.73m2/70 kg conversion factor used.,,1990,815.7,13,8,185.4,6,neutral,5.9,5.9
c12c(cccc1cncc2)OCC(N[C@H](C(N[C@H]([C@@H](C(N1[C@@H](CSC1)C(NC(C)(C)C)=O)=O)O)Cc1ccccc1)=O)CSC)=O,-3.1844245711374275,-2.027631719334356,KNI-272,147318-81-8,0.11,10.5,,0.17,0.44,"BRIGITTA U. MUELLER, BARRY D. ANDERSON, MAUREEN Q. FARLEY, ROBERT MURPHY, JUDY ZUCKERMAN, PAUL JAROSINSKI, KAREN GODWIN, CINDY L. MCCULLY, HIROAKI MITSUYA, PHILIP A. PIZZO, FRANK M. BALIS. Pharmacokinetics of the Protease Inhibitor KNI-272 in Plasma and Cerebrospinal Fluid in Nonhuman Primates after Intravenous Dosing and in Human Immunodeficiency Virus-Infected Children after Intravenous and Oral Dosing. Antimicr. Agents Chemother. 1998, 42, 1815-1818.","Kynostatin 272. Dosed to children at 200 mg/m2 to children. Median age 9.7 years, N=5 from data in table 2. MRT from VDss and clearance.",,1992,667.84,11,4,150.0,13,neutral,2.0,1.9
c12c3c([C@@]4(O[C@@H](O3)[C@@H](O)[C@@H]([C@@H]4O)N(C)C)C)cc(c1C(c1c(c3[C@@H](C[C@@](Cc3cc1C2=O)(C)O)OC)O)=O)O,3.192194165283345,1.9196283287795497,Menogaril,71628-96-1,9.14,11.61,,13.13,13.22,"Merrill J. Egorin, David A. Van Echo, Margaret Y. Whitacre, Alan Forrest, Lawrence M. Sigman, Kathrin L. Engisch, and Joseph Aisner (1986). Human Pharmacokinetics, Excretion, and Metabolism of the Anthracycline Antibiotic Menogaril (7-OMEN, NSC 269148) and Their Correlation with Clinical Toxicities. CANCER RESEARCH 46, 1513-1520",NSC 269148. Menogarol. 7-OMEN. Average clearance and VDss as reported by authors. 1.73 m2/70 factor used. Overall 24 stuides at different doses (infusion). MRT from clearance and VDss.,"From paper cited: In humans, as in rabbits (8), neither urinary or biliary excretion of 7-OMEN and its fluorescent metabolites represented a major route of drug clearance.",1978,541.55,11,5,166.2,2,zwitterionic,1.4,-1.2
c12c3cccc1cc(cc2C(=O)N(C3=O)CCN(C)C)[N+](=O)[O-],3.4982508675278257,2.483444644430901,Mitonafide,54824-17-8,11.3,34.6,,5.6,28.7,"Pharmacokinetics characterization of mitonafide in man. Brode E, Poveda Velasco A, Díaz-Rubio E, Rosell Costa R, Benavides Fissure A. Meth. Find. Exp. Clin. Pharmacol. 1992, 14(2), 131-140",Individual subject plasma levels and PK data reported. Data corrected for individual surface area and weight and then averaged. Very long t1/2 (gamma),,1975,313.31,7,0,83.8,4,neutral,2.3,2.1
c1c(c2c(cc1)C(=O)c1c(c(O)c3c(c1O)[C@@H](O)[C@@](O)(CC)C[C@@H]3O[C@@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)N1CCOCC1)C2=O)O,4.38543103719352,2.91362074986835,KRN8602,105026-50-4,20.9,42.8,0.09,8.0,10.7,"Kerrie Clarke, Russell L. Basser, Darryl Maher, Denis J. Morgan, Jonathan Cebon, Richard M. Fox, John S. Hill, Carole Alt, Jane Bartlett, Howard Geldard, Andrew H. Kaye, and Michael D. Green. Phase I and Pharmacokinetic Study of KRN8602 Alone and With Filgrastim in Patients With Advanced Cancer. J Clin Oncol. 1998, 16:2181-2187.",Weighted average of 27 patients receiving KRN 8062 only. 10-50 mg/m2 dose range. 70-kg weight assumed. AUC units not reported. CAS of HCl salt.,,1986,585.6,12,6,186.4,4,neutral,1.4,1.2
c1c(cc2[nH]c(n3C[C@@H]([N@@](Cc1c23)C\C=C(\C)C)C)=S)Cl,4.458119481174506,3.448509650959088,R 82913,126347-69-1,21.98,10.41,,35.17,25.96,"De Wit S; Hermans P; Sommereijns B; O'Doherty E; Westenborghs R; van de Velde V; Cauwenbergh G F; Clumeck N. Pharmacokinetics of R 82913 in AIDS patients: a phase I dose-​finding study of oral administration compared with intravenous infusion. Antimicr. Agents Chemother. 1992, 36, 2661-2663.","9-Cl-TIBO. TIBO-R 82913. N=5, Day 29 infusion, 1 hr, 100 mg dose. Data digitized from plot. 70 kg average weight assumed. Only AUC0-24 after Day 29 and Day 0 was reported and the AUC 24 after digitization was about ~86% and thus considered acceptable. However, all data were calculated using the calculated AUCinf (2286 ng.hr.mL-1) obtainded from digitization. SOme accumulation observed (Day 0 to Day 29) but limited to 40%.  ",,1990,321.87,3,1,24.0,2,neutral,5.0,1.7
c1c(sc(N(Cc2cc3c(cc2)[nH]c(nc3=O)C)C)c1)C(=O)N[C@@H](CCC(O)=O)C(=O)O,2.715893370547605,0.7132446371783558,Raltitrexed,112887-68-0,6.57,0.9,0.05,123.0,140.0,"I Judson, T Maughan, P Beale, J Primrose, P Hoskin, J Hanwell, C Berry, M Walker and F Sutcliffe. Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694) British Journal of Cancer (1 998) 78(9). 1188-1193. ppb: Stephen J. Clarke, Philip J. Beale and Laurent P. Rivory. Clinical and Preclinical Pharmacokinetics of Raltitrexed. Clin Pharmacokinet 2000 , 39 (5): 429-443. From the ref. the authors cite own original work and state: Using ultrafiltration, binding was shown to be approximately 95% over a range of plasma concentrations. Therefore the review article data was accepted. ","Tomudex, ZD1694. Dose 3.0 mg/m^2 i.v. 15-min infusion (N=8, with normal renal function) Avg weight = 75 kg. Extremely long gamma phase. 3 compartment study.",,1987,458.49,10,4,152.7,9,anionic,1.6,-3.4
c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(=O)nc([nH]3)N,3.277984747299765,2.0591588153519784,Folic acid,59-30-3,9.7,52.0,0.5,3.1,2.6,"Menke A; Weimann H J; Achtert G; Schuster O; Menke G. Absolute bioavailability of folic acid after oral administration of a folic acid tablet formulation in healthy volunteers. Arzneimittel-Forschung (1994), 44(9), 1063-1067// ppb: Elsborg L. Binding of Folic Acid to Human Plasma Proteins. Acta Haematol 1972,48, 207–212.","N=17. Dose = 5 mg  6min infusion. BW = 87.5 kg
PK iv profile reported in table 1. Concentration corrected from predose level of 18.2 ng/mL. MRT Calculated from VDss and CL.
AUC0-12h (ng*h/mL) = 1546 (reported 1550). AUC0-inf (ng*h/mL) = 1601",,1946,441.4,13,6,213.3,9,anionic,-1.3,-8.6
c1ccc(cc1)CC[C@H](N[C@@H]1C(N2[C@@H](CCC[N@@]2CCC1)C(O)=O)=O)C(O)=O,1.8875252707415875,0.5243194529621336,Cilazaprilat,90139-06-3,3.7,2.1,,29.5,50.6,"P. E. O. WILLIAMS, A. N. BROWN, S. RAJAGURU, R. J. FRANCIS, G. E. WALTERS, J. McEWEN & C. DURNIN. The pharmacokinetics and bioavailability of cilazapril in normal man. Br. J. Clin. Pharmacol. 1989, 27, 181S-188S","N=12, 74 kg average weight, 2.5 mg dose.
Reported AUC (0-24) = 192 ng.hr/mL
Clearance (24hr) = 12.3 L/h (= 2.8 mL/min/kg)
ppb variable from 24% at high concentration and 95% at low concentration (not reported)",91% excreted unchanged as per Williams et al.,1984,389.45,8,3,110.2,7,anionic,0.35,-5.4
