SMILES,log2CL,log2CL_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,3.584962500721156,1.7717818,Gefitinib,184475-35-2,23.0,12.0,0.0889999999999999,32.0,34.0,"Swaisland, HC, Smith RP, Laight A, Kerr DJ, Ranson M, Wilder-Smith CH, and Duvauchelle T (2005) Single-dose clinical pharmacokinetics studies of gefitinib.  Clin. Pharmacokinet. 44: 1165-1177.  McKillop D, Hutchison M, Partridge EA, Bushby N, Cooper CMF, Clarkson-Jones JA, Herron W, and Swaisland HC (2004) Metabolic disposition of gefitinib, an epidermal growth factor receptor tyrosine kinase inhibitor, in rat, dog and man.  Xenobiotica 34: 917-934",,,1986,446.9,7,1,68.7,8,cationic,4.3,3.9
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,2.4594316186372973,3.9800878,Bevantolol,59170-23-9,0.67,5.5,0.0149999999999999,2.0,1.9,"McNeil JJ, Drummer OH, Anderson AIE, and Louis WJ (1986) Pharmacokinetics and concentration-effect relationships of bevantolol (CI-775) in normal volunteers.  J. Cardiovasc. Pharmacol. 8: 1201-1207.  Ichikawa M, Haruki S, Esumi Y, Takaichi M, Seki H, and Shiina M (1992) Metabolic fate of bevantolol hydrochloride.  Absorption, distribution and excretion in rats and dogs after single oral administration.  Yakuri to Chiryo 20: 1695-1708. ",VDss calculated from reported microconstants.,,1976,345.43,5,2,59.9,10,cationic,2.9,1.9
COc1ccc(CN(CCC(=O)O)C(=O)CNC(=O)Cc2ccc(NC(=O)Nc3ccccc3C)c(OC)c2)cc1OC,3.4594316186372973,1.1352162,IVL745,229627-58-1,0.25,11.0,,0.38,1.6,"Rohatagi S, Shah B, Zhang J, Zeng Z, Kirkesseli S, and Jensen BK (2004) Estimating mass balance for inhaled drugs in humans: An example with a VLA-4 antagonist, IVL745.  J. Clin. Pharmacol. 44: 348-358.",,,1999,592.64,12,4,155.5,14,anionic,2.7,-0.014
COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F,3.906890595608519,1.9435695,Maxipost,187523-35-9,10.0,15.0,0.0038,11.0,37.0,"Zhang D, Krishna R, Wang L, Zeng J, Mitroka J, Dai R, Narasimhan N, Reeves RA, Srinivas NR, and Klunk LJ (2005) Metabolism, pharmacokinetics, and protein covalent binding of radiolabeled maxipost (BMS-204352) in humans.  Drug Metab. Dispos. 33: 83-93.  Krishna R, Yao M, Kaczor D, Vachharajani N, and Srinivas NR. (2001) In vitro protein binding studies with BMS-204352: lack of protein binding displacement interaction in human serum.  Biopharm. Drug Dispos. 22: 41-44.",Flindokalner. BMS-204352,,1997,359.7,3,1,38.3,2,anionic,4.1,2.5
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,3.807354922057604,2.783803,Venlafaxine,93413-69-5,4.4,14.0,0.73,5.2,5.0,"Patat A, Troy S, Burke J, Trocherie S, Danjou P, LeCoz F, Allain H, and Gandon JM (1998) Absolute bioavailability and electroencephalographic effects of conventional and extended-release formulations of venlafaxine in healthy subjects.  J. Clin. Pharmacol. 38: 256-267.  Effexor Product Label.",,,1984,277.4,3,1,32.7,5,cationic,3.4,1.4
COc1ccc(cc1)c2nc3cc(ccc3[nH]2)C4=NNC(=O)CC4C,3.807354922057604,2.2610586,Pimobendan,74150-27-9,2.0,14.0,0.024,2.2,1.8,"Chu KM, Shieh SM, and Hu OYP (1995) Plasma and red blood cell pharmacokinetics of pimobendan enantiomers in healthy Chinese.  Eur. J. Clin. Pharmacol. 47: 537-542. ",Data from enantiomers averaged.,,1980,334.37,6,2,79.4,3,neutral,3.1,3.1
COc1ccc(cc1OC2CCCC2)[C@@]3(CC[C@H](CC3)C(=O)O)C#N,-1.0,1.5157831,Cilomilast,153259-65-5,0.23,0.5,0.006,8.5,7.9,"Zussman BD, Davie CC, Kelly J, Murdoch RD, Clark DJ, Schofield JP, Walls C, Birrell C, Webber D, Quinlan J, Ritchie SY, and Carr A (2001)  Bioavailability of the oral selective phosphodiesterase 4 inhibitor cilomilast.  Pharmacother. 21: 653-660.  Down G, Siederer S, Lim S, and Daley-Yates P (2006) Clinical pharmacology of cilomilast.  Clin. Pharmacokinet. 45: 217-233.",,,1993,343.42,5,1,79.6,6,anionic,3.6,0.89
COc1ccc2C[C@@H]3c4c(CC[N+]3(C)C)cc(OC)c(OC)c4Oc5ccc(C[C@H]6c7cc(Oc1c2)c(OC)cc7CC[N+]6(C)C)cc5,0.2630344058337938,1.3169017,Metocurine,5152-30-7,0.4,1.2,0.65,5.6,5.1,"Brotherton WP and Matteo RS (1981) Pharmacokinetics and pharmacodynamics of metocurine in humans with and without renal failure.  Anesthesiology 55: 273-276.  Avram MJ, Shanks CA, Henthorn TK, Ronai AK, Kinzer J, and Wilkinson CJ (1987) Metocurine kinetics in patients undergoing operations requiring cardiopulmonary bypass.  Clin. Pharmacl. Ther. 42: 576-581.",VDss calculated from micro rate constants provided in the reference.,,1950,652.82,8,0,55.4,4,neutral,2.3,2.3
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,2.608809242675524,4.0410237,Oxycodone,76-42-6,2.5,6.1,0.55,6.8,5.5,"Leow KP, Smith MT, Watt JA, Williams BE, and Cramond T (1992) Comparative oxycodone pharmacokinetics in humans after intravenous, oral, and rectal administration.  Ther. Drug Monit. 14: 479-484.  Leow KP, Wright AWE, Cramond T, and Smith MT (1993) Determination of the serum protein binding of oxycodone and morphine using ultrafiltration.  Ther. Drug Monit. 15: 440-447. ",,,1914,315.36,5,1,59.0,1,cationic,0.72,0.17
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,0.3785116232537298,1.4864016,Indomethacin,53-86-1,0.096,1.3,0.01,1.2,1.4,"Yeh KC, Berger ET, Breault GO, and Lei BE (1982) Effect of sustained release on the pharmacokinetic profile of indomethacin in man.  Biopharm. Drug Dispos. 3: 219-230.  Indocin Product Label.",CL and half-life were calculated from C vs t data included in the reference.  VDss was calculated using micro rate constants provided.,,1955,357.79,5,1,68.5,5,anionic,3.4,0.59
COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,0.925999418556223,2.8781984,Quinine,130-95-0,1.8,1.9,0.3,16.0,11.0,"White NJ, Clinical pharmacokinetics of antimaliria drugs.  Clin. Pharmacokinet.  10: 187-215.  White NJ, Chanthavanich P, Krishna S, Bunch C, and Silamut K (1983) Quinine disposition kinetics.  Br. J. Clin. Pharmacol.  16: 399-403.",VDss calculated from reported rat micro-constants.,,1918,324.42,4,1,45.6,4,cationic,2.9,2.1
COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,2.7224660244710908,1.4581666,Methicillin,61-32-5,0.32,6.6,0.43,0.8,0.64,"Yaffe SJ, Gerbacht LM, Mosovich LL, Mattar ME, Danish M, and Jusko WJ (1977) Pharmacokinetics of methicillin in patients with cystic fibrosis.  J. Infect. Dis. 135: 828-831.  Dittert LW, Griffen WO, LaPiana JC, Shainfeld FJ, and Doluisio JT (1969) Pharmacokinetic interpretation of penicillin levels in serum and urine after intravenous administration.  Antimic. Agents Chemother. 9, 42-48.  Bergan T (1984) Pharmacokinetics of beta-lactam antibiotics.  Scand. J. Infect. Dis. 42(Suppl): 83-98.  Baur G, Kurz H, Trunk H (1977) Alteration of  protein binding during storage of human plasma preparations.  Anaesthesist 26: 148-150.","VDss calculated using micro rate constants reported in the reference by Dittert, et al.  Concentrations determined using a bioassay.  ",,1959,380.42,8,2,105.2,5,anionic,1.7,-1.6
COc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C,2.700439718141092,4.099441,Tramadol,27203-92-5,2.8,6.5,0.8,7.2,5.8,"Lintz W, Barth H, Osterloh G, and Schmidt-Boethelt E (1998) Pharmacokinetics of tramadol and bioavailability of enteral tramadol formulations. 3rd communication. Suppositories.  Arz. Forsch. 48: 889-899.  Grond S and Sablotzki A (2004) Clinical pharmacology of tramadol.  Clin. Pharmacokinet. 43: 879-923.","Parameters calculated from data reported in a table in Lintz, et al.",,1973,263.38,3,1,32.7,4,cationic,2.6,0.99
COc1ccccc1N2CCN(CCCNC3=CC(=O)N(C)C(=O)N3C)CC2,1.632268215499513,3.8619862,Urapidil,34661-75-1,0.75,3.1,,4.0,3.5,"Zech K, Steinijans VW, and Radtke HW (1986) Pharmacokinetics of urapidil in normal subjects. In Amery (Ed) Treatment of Hypertension with Urapidil: Preclinical and Clinical Update. 29-38, ICSS 101, RSM Services Ltd, London.",VDss calculated using C vs t data obtained from a digitized plot.,,1971,387.48,8,1,68.4,7,cationic,1.8,1.1
COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cn3)C(C)C)nc(nc2OCCO)c4ccnc(c4)c5nnn[nH]5,3.017921907997262,1.6405056,Tezosentan,180384-57-0,0.28,8.1,0.0085,0.58,3.8,"Dingemanse J, Clozel M, and Giersbergen PLM (2002) Pharmacokinetics and pharmacodynamics of tezosentan, an intravenous dual endothelin receptor antagonist, following chronic infusion in healthy subjects.  Br. J. Clin. Pharmacol. 53: 355-362.  Treiber A, Van Giersbergen PLM, and Dingemanse J (2003) In vivo and in vitro disposition profile of tezosentan, an intravenous dual endothelin receptor antagonist, in humans.  Xenobiotica 33: 399-414.",,,1996,605.63,15,3,200.1,12,anionic,3.5,-1.6
COc1nc(C)nc(Cl)c1NC2=NCCN2,3.4594316186372973,2.0237627,Moxonidine,75438-57-2,1.8,11.0,0.93,2.7,2.2,"Theodor R, Weimann HJ, Weber W, and Michaelis K (1991) Absolute bioavailability of moxonidine.  Eur. J. Drug Met. and Pharmacokin. 16: 153-159.  Schaefer HG, Toublanc N, and Weimann HJ (1998) The pharmacokinetics of moxonidine.  Rev. Contemp. Pharmacother.  9: 481-490.",,,1980,241.68,6,2,71.4,3,cationic,0.55,0.13
COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,6.339850002884624,2.7889225,Nelarabine,121032-29-9,4.9,81.0,0.8,1.0,0.5,PDR Arranon Product Label. Accessed July 31 2014. http://www.pdr3d.com/detail.php?c=103264#section-13,,,1968,297.27,10,4,148.8,3,neutral,-1.9,-1.9
CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,5.058749412335524,1.8114135,Dronedarone,141626-36-0,20.0,33.33,0.02,10.0,16.0,PDR. Accessed February 20 2013. http://www.pdr3d.com/detail.php?c=77881#section-14,MRT from VDss and Cl. 70 kg assumed. Ppb > 98%,,1992,556.76,7,1,89.1,18,zwitterionic,7.3,4.7
CS(=O)(=O)[N@@](N(S(=O)(=O)C)C(=O)NC)CCCl,4.529820946528695,2.6549382,Laromustine,173424-77-6,0.88,23.1,,0.63,0.49,"A Phase I and Pharmacokinetic Study of VNP40101M, a Novel Sulfonylhydrazine Alkylating Agent, in Patients with Refractory LeukemiaFrancis Giles, Deborah Thomas,Guillermo Garcia-Manero, Stefan Faderl,Jorge Cortes, Srdan Verstovsek, Alessandra Ferrajoli,Sima Jeha,Miloslav Beran, Charles Koller, Michael Andreeff, Ann Cahill,Caroline Clairmont, Mario Sznol, and Hagop Kantarjian Cli. Cancer Res. 2004 Vol. 10, 2908–2917.","VNP40101M or cloretazine. Dose range from 220 to 708 ,g/m2. Weighted average across number of courses for each dose. MRT calculated from VDss and clearance reported. Variable infusion time (15-70 minutes)",,1996,307.78,8,1,103.9,5,neutral,-1.4,-1.4
CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,3.1795110502715103,0.14630608,Cangrelor,163706-06-7,0.035,9.06,0.02,0.07,0.14," Akers Wendell S; Oh Jennifer J; Oestreich Julie H; Ferraris Suellen; Wethington Mary; Steinhubl Steven R. Pharmacokinetics and Pharmacodynamics of a Bolus and Infusion of Cangrelor: A Direct, Parenteral P2Y12 Receptor Antagonist. Journal of clinical pharmacology (2010), 50(1), 27-35.//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/204958orig1s000clinpharmr.pdf. Accessed July 12 2017.","Digitized and then averaged from two groups. N=10 and N=9. 81 kg average with total dose 10 677 ug, and 79 kg average with total dose 20704 ug, respectively.",,1994,776.36,17,7,255.9,15,anionic,-1.4,-8.6
CSCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4c3cccc4)C(=O)NCC(=O)O)N,9.766528908598865,1.2919574,ACHT 4-10,4037-01-8,0.73,871.0,,0.01,0.06,"U. Bickel, J. Born, H.L. Fehm, M. Distler, and K. H. Voigt. The Behaviorally Active Peptide ACTH 4-10: Measurement in Plasma and Pharmacokinetics in Man.  Eur J Clin Pharmacol (1988) 35:371-377","4-10-Corticotropin, ACTH (4-10). MRT from clearance and VDss, 125 ug dose, very high clearance.",,1968,962.09,23,13,384.1,29,zwitterionic,-0.68,-4.5
C[C@@H](C(=O)N)NCc1ccc(cc1)OCc2cccc(c2)F,0.2265085298086797,3.192603,Safinamide,133865-89-1,2.19,1.17,,31.16,21.67,"Annick Seithel‐Keuth, Andreas Johne, Achim Freisleben, Katrin Kupas,
Michael Lissy, and Sonja Krösser. Absolute Bioavailability and Effect of Food
on the Disposition of Safinamide Immediate Release Tablets in Healthy Adult Subjects. Clin.Pharmacol. Drug. dev. 2013, 2, 79-89.","N=14, 7M/7F, 50 mg iv dose as a 30 minutes infusion. Average weight assumed to be 70 kg. Data digitized from plot reported and PK parameters calculated via PKSolver. AUCinf reported 11022 . Calculated AUC0-inf 10168 ng.h.mL-1. AUC0-t highly truncated.",,1990,302.34,4,2,64.3,7,cationic,1.7,1.1
C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c2ccc(O)cc2,4.954196310386875,3.0819354,Ritodrine,26652-09-5,4.4,31.0,0.64,2.4,2.6,"Caritis SN, Venkataramanan R, Darby MJ, Chiao JP, and Krew M (1990) Pharmacokinetics of ritodrine administered intravenously: recommendations for changes in the current regimen.  Am. J. Obstet. Gynecol. 162: 429-437.  Gross AS and Brown KF (1985) Plasma protein binding of ritodrine at parturition and in nonpregnant women.  Eur. J. Clin. Pharmacol. 28: 479-481.",Data from pregnant women.,,1971,287.35,4,4,72.7,6,cationic,1.9,0.37
C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(=O)O)SCCOC(=O)N,2.9068905956085187,1.2412238,Sch34343,95415-91-1,0.3,7.5,0.35,0.67,0.8,"Lin CC, Lim J, Radwanski E, Kim, HK, Marco A, Lapiguera A, DiGiore C, and Symchowicz S (1987) Pharmacokinetics and metabolism of an intravenously administered penem (Sch 34343) in humans.  Antimic. Agents Chemother.  31: 84-87.  Eliopoulos GM, Reiszner E, and Moellering RC (1985) In vitro activity of Sch 34343 against enterococci and other Gram-positive bacteria.  Antimic. Agents Chemother. 27: 28-32.",VDss calculated from digitized C vs t plot.,,1984,334.37,8,3,130.2,7,anionic,-1.6,-4.6
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)Nc4cccc(c4)C(=O)O,-1.15200309344505,0.44103742,Ertapenem,153832-46-3,0.12,0.45,0.1,4.4,3.8,"Majumdar AK, Musson DG, Birk KL, Kitchen CJ, Holland S, McCrea J, Mistry G, Hesney M, Xi L, Li SX, Haesen R, Blum RA, Lins RL, Greenberg H, Waldman S, Deutsch P, and Rogers JD (2002) Pharmacokinetics of ertapenem in healthy young volunteers.  Antimic. Agents Chemother. 46: 3506-3511.",Protein binding non-linear over the concentration range studied in vivo; median value used.,,1993,475.51,10,5,156.3,7,anionic,0.43,-4.8
C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,0.0,2.0504649,Aprepitant,170729-80-3,0.94,1.0,0.05,16.0,13.0,"Majumdar AK, Howard L, Goldberg, MR, Hickey L, Constanzer M, Rothenberg PL, Crumley TM, Panebianco D, Bradstreet TE, Bergman AJ, Waldman SA, Greenberg HE, Butler K,  Knops A, De Lepeleire I, Michiels N, and Petty KJ (2006) Pharmacokinetics of aprepitant after single and multiple oral doses in healthy volunteers.  J. Clin. Pharmacol. 46: 291-300.  Emend Product Label.",,,1995,534.43,7,2,75.2,6,neutral,4.1,4.1
C[C@@H]([C@@H](O)c1ccc(O)cc1)N2CCC(O)(CC2)c3ccccc3,4.754887502163468,2.5998616,Traxoprodil,134234-12-1,4.4,27.0,0.63,2.6,3.7,"Taylor TJ, Diringer K, Russell T, Venkatakrishnan K, Wilner K, Crownover PH, Benincosa LJ, and Gibbs MA (2006) Absolute oral bioavailability of traxoprodil in cytochrome P450 2D6 extensive and poor metabolizers.  Clin. Pharmacokin. 45: 989-1001.  ",Data from CYP2D6 extensive metabolizers.,,1990,327.42,4,3,63.9,4,cationic,2.1,1.0
C[C@@H]([C@@](O)(Cn1cncn1)c2ccc(F)cc2F)S(=O)(=O)C,-2.395928676331139,1.4983828,Genaconazole,120924-80-3,0.62,0.19,,54.0,49.0,"Mojavrian P, Radwanski E, Affirme MB, Cayen MN, and Lin CC (1994) Pharmacokinetics of the triazole antifungal agent genaconazole in healthy men after oral and intravenous administration.  Antimic. Agents Chemother.  38: 2758-2762.",VDss calculated from digitized plots.,,1989,331.34,6,1,85.1,5,neutral,-0.18,-0.18
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-3.8365012677171206,1.2729148,Naproxen,22204-53-1,0.09,0.07,0.002,19.78,16.63,"M.V. Calvo, J.V. Lanao, A. Dominguez-Gil. Bioavailability of rectally administered naproxen. In. J. Pharm. 1987, 38, 117-122.//ppb: R. A. UPTON, R. L. WILLIAMS, J. KELLY  R. M. JONES Naproxen pharmacokinetics in the elderly. Br. J. Clin. Pharmacol. 1984, 18, 207-217.","Data digitized from plot 250 mg dose, N=8 and 63.3 kg average weight reported. Vdarea 7.14 L. Reported AUCinf = 842 ug.hr.mL-1, calculated 813 842 ug.hr.mL-1. PDR reports > 99% bound to plasma proteins.  ppb data from Upton et al. taken from young subjects. Determined at peak plasma at day 9 and not sttistically different than trough. Larger (2-fold) fu in elderly subjects at both peak and trough plasma level on day 9.",,1963,230.26,3,1,46.5,3,anionic,2.9,0.023
C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,3.0531113364595623,1.5120387,Voriconazole,137234-62-9,2.2,8.3,0.42,4.4,5.6,"Purkins L, Wood N, Greenhalgh K, Eve MD, Oliver SD, and Nichols D (2003) The pharmacokinetics and safety of intravenous voriconazole - a novel wide-spectrum antifungal agent.  Br. J. Clin. Pharmacol. 56(Suppl. 1):  2-9.   Roffey SJ, Cole S, Comby P, Gibson D, Jezequel SG, Nedderman ANR, Smith DA, Walker DK, and Wood N (2003) The disposition of voriconazole in mouse, rat, rabbit, guinea pig, dog, and human.  Drug Metab. Dispos. 31: 731-741.",,,1991,349.31,6,1,76.7,5,neutral,1.5,1.5
C[C@@H]1CC(=O)NN=C1c2ccc(NN=C(C#N)C#N)cc2,1.925999418556223,0.88327044,Levosimendan,141505-33-1,0.24,3.8,0.02,1.1,1.1,"Sundberg S, Antila S, Scheinin H, Hayha M, Virtanen M, and Lehtonen L (1998) Integrated pharmacokinetics and pharmacodynamics of the novel calcium sensitizer levosimendan as assessed by systolic time intervals.  Int. J. Clin. Pharmacol. Ther. 36: 629-635.  Lilleberg J, Antila S, Karlsson M, Mieminen MS, and Pentkainen PJ (1994) Pharmacokinetics and pharmacodynamics of simendan, a novel calcium sensitizer, in healthy volunteers.  Clin. Pharmacol. Ther. 56: 554-563.  Wikberg T, Korkolainen T, and Karlsson M (1996) Enantiomeric bioanalysis of simendan and levosimendan by chiral high-performance liquid chromatigraphy.  Chirality 8: 511-517.",,,1992,280.28,7,2,113.4,5,anionic,2.2,0.87
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,4.321928094887363,2.7044685,"Methylnortestosterone, 7α-, 19-",3764-87-2,0.8,20.0,,0.67,0.65,"Kumar N, Suvisaari J, Tsong YY, Aguillaume C, Bardin CW, Lahteenmaki P, and Sundaram K (1997) Pharmacokinetics of 7a-methyl-19-nortestosterone in men and cynomolgus monkeys.  J. Androl. 18: 352-358.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1962,288.42,2,1,37.3,0,neutral,3.5,3.5
C[C@@H]1CCC[C@H](C)N1CCCC(O)(c2ccccc2)c3ccccn3,0.84799690655495,3.0357974,Pirmenol,68252-19-7,1.4,1.8,0.13,13.0,8.4,"Hammill SC, Shand DG, Routledge PA. Hindman MC, Baker JT, and Pritchett ELC (1982) Pirmenol, a new antiarrhythmic agent:  initial study of efficacy, safety and pharmacokinetics.  Circulation 65: 369-375,  ",VDss calculated from reported rate microcnstants.,,1978,338.49,3,1,36.4,6,cationic,4.2,2.1
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,10.06339508128851,1.5620772,Artesunate,88495-63-0,15.0,1070.0,0.25,0.32,0.22,"Newton PN, Barnes KI, Smith PJ, Evans AC, Chierakul, W, Ruangveerayuth R, and WhiteNJ (2006) The pharmacokinetics of intravenous artesunate in adults with severe falciparum malaria.    Eur. J. Clin. Pharmacol.  62: 1003-1009.  Li Q, Xie LH, Haeberle A, Zhang J, and Weina P (2006) The evaluation of radiolabeled artesunate on tissue distribution in rats and protein binding in humans.  Am. J. Trop. Med. Hyg. 75: 817-826.",,,1982,384.42,8,1,100.5,5,neutral,3.0,2.9
C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C,4.584962500721156,2.508797,Idarubicin,58957-92-9,38.0,24.0,0.0759999999999999,26.0,16.0,"Robert J (1993) Clinical pharmacokinetics of idarubicin.  Clin. Pharmacokinet. 24: 275-288.  Kessel M, Gieseler F, and Woodcock BG (1999) Influence of serum protein on the uptake and retention of idarubicin by sensitive and multidrug resistant human leukemic cells.  Eur. J. Clin. Pharmacol. 55: 369-373.",Compendium of intravenous data with median values.,,1976,497.49,10,5,176.6,3,cationic,1.3,-1.5
C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@@](O)(Cc4c(O)c5C(=O)c6ccccc6C(=O)c5c(O)c34)C(=O)CO)O[C@H]2C,1.3219280948873624,3.000225,MEN-10755 ,211100-13-9,2.4,2.5,,17.0,21.0,"Bos AME, deVries EGE, Dombernovsky P, Aamdal S, Uges DRA, Schrijvers D, Wanders J, Roelvink MWJ, Hanauske AR, Bortini S, Capriati A, Crea AEG, and Vermorken JB (2001) Pharmacokinetics of MEN-10755, a novel anthracycline disaccharide analogue, in two phase 1 studies in adults with advanced solid tumors.  Canc. Chemother. Pharmacol. 48: 361-369.",Sabarubicin. CAS # and structure referring to free base. CAS # for HCl salt = 169317-77-5. The code MEN-10755 is reported only with the salt by SciFinder.,,1998,643.64,14,7,235.5,6,cationic,0.54,-2.2
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,-1.1202942337177118,0.69842046,Doxycycline,564-25-0,0.69,0.46,0.12,25.0,14.0,"Nguyen VX, Nix DE, Gillikin S, and Schentag JJ (1989)  Effect of oral antacid administration on the pharmacokinetics of intravenous doxycycline.  Antimic. Agents Chemother. 33: 434-436.  Houin G, Brunner F, Nebout T, Cherfaoui M, Lagrue G, and Tillement JP (1983) The effects of chronic renal insufficiency on the pharmacokinetics of doxycycline in man.  Br. J. Clin. Pharmacol. 16: 245-252.  Raghuram TC and Krishnaswamy K (1982) Pharmacokinetics and plasma steady-state levels of doxycycline in undernutrition.  Br. J. Clin. Pharmacol. 14: 785-789.",,,1958,444.43,10,6,181.6,2,anionic,-0.64,-3.3
C[C@@]12[C@@H]([C@]3(C)[C@@H](CC2)C(C)(C)[C@H](CC3)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)CO)O)C[C@H]([C@H]2[C@@]1(C)CC[C@@H]2[C@@](O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)(CCC=C(C)C)C)O,-3.473931188332412,0.50052863,Ginsenoside RD,52705-93-8,0.11,0.09,,20.2,18.5,"Pharmacokinetics and Safety of Ginsenoside Rd Following a Single or Multiple Intravenous Dose in Healthy Chinese Volunteers. Xing Zeng, PhD, Yuanhui Deng, BS, Yi Feng, MS, Yiming Liu, PhD, Liu Yang, MS, Yu Huang, MS, Jing Sun, BS, Weixiong Liang, MD, and Yongyuan Guan, MD. J. Clin. Pharmacol. 2010, 50, 285-292.","VDss calculated from reported clearance and MRT. 10, 40 and 75 mg doses, N=10 each cohort. Average values taken.",,1974,947.15,18,12,298.1,13,neutral,-0.39,-0.39
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2.51096191927738,0.9471659,Chenodeoxycholic acid,474-25-9,0.19,5.7,,0.57,1.42,"van Berge-Henegouwen GP, Hofmann AF. Pharmacology of chenodeoxycholic acid. II. Absorption and metabolism. Gastroenterol. 1977, 73, 300-309.","Chenic acid. Data digitized from plot and converted from % dose/mL into mas/volume units. Radiocativity measured but it was determined that there was no circulating metabolites from GC and total radioactivity determination (same AUC) after po dosing. Data digitized and PK parameters calculated via PKsolver. No usable reported data available. 1 mg total dose assumed to convert concentration data. N=6, 70 kg average weight assumed.",,1924,392.57,4,3,77.8,4,anionic,4.4,2.0
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,-1.6896598793878497,1.6503056,Calcitriol,32222-06-3,0.25,0.31,,13.29,11.0,"L. Brandi, M. Egfjord, K. Olgaard. Pharmacokinetics of 1,25(OH)2D3 and 1a(OH)D3 in normal and uraemic men. Nephrol. Dial. Transpl. 2002, 17, 829-842.","1,25-(OH)2D3. Ro 21-5535.1-alpha,25-Dihydroxycholecalciferol. Data digitization performed from plot (figure 3) reported. AUC0-72 reported as 3378.6 pg.h.mL-1. AUC0-72 reported as 3522.52 pg.h.mL-1. 4% difference.",,1971,416.64,3,3,60.7,5,neutral,6.0,6.0
